1:1:1	يُسَبِّحُ	V	IMPF|VF:2|ROOT:سبح|LEM:سَبَّحَ|3MS|MOOD:IND
1:2:1	لِ	P	P|PREF|LEM:ل
1:2:2	لَّهِ	N	PN|ROOT:أله|LEM:اللَّه|GEN
1:3:1	مَا	N	REL|LEM:ما
1:4:1	فِى	P	P|LEM:فِي
1:5:1	ٱل	P	DET|PREF|LEM:ال
1:5:2	سَّمَٰوَٰتِ	N	ROOT:سمو|LEM:سَماء|FP|GEN
1:6:1	وَ	P	CONJ|PREF|LEM:و
1:6:2	مَا	N	REL|LEM:ما
1:7:1	فِى	P	P|LEM:فِي
1:8:1	ٱلْ	P	DET|PREF|LEM:ال
1:8:2	أَرْضِ	N	ROOT:أرض|LEM:أَرْض|F|GEN
1:9:1	لَ	P	P|PREF|LEM:ل
1:9:2	هُ	N	PRON|3MS
1:10:1	ٱلْ	P	DET|PREF|LEM:ال
1:10:2	مُلْكُ	N	ROOT:ملك|LEM:مُلْك|M|NOM
1:11:1	وَ	P	CONJ|PREF|LEM:و
1:11:2	لَ	P	P|PREF|LEM:ل
1:11:3	هُ	N	PRON|3MS
1:12:1	ٱلْ	P	DET|PREF|LEM:ال
1:12:2	حَمْدُ	N	ROOT:حمد|LEM:حَمْد|M|NOM
1:13:1	وَ	P	CONJ|PREF|LEM:و
1:13:2	هُوَ	N	PRON|3MS
1:14:1	عَلَىٰ	P	P|LEM:عَلَى
1:15:1	كُلِّ	N	ROOT:كلل|LEM:كُلّ|M|GEN
1:16:1	شَىْءٍ	N	ROOT:شيأ|LEM:شَىْء|M|INDEF|GEN
1:17:1	قَدِيرٌ	N	ROOT:قدر|LEM:قَدِير|M|INDEF|NOM
2:1:1	هُوَ	N	PRON|3MS
2:2:1	ٱلَّذِى	N	REL|LEM:الَّذِي|MS
2:3:1	خَلَقَ	V	PERF|VF:1|ROOT:خلق|LEM:خَلَقَ|3MS
2:3:2	كُمْ	N	PRON|SUFF|2MP
2:4:1	فَ	P	REM|PREF|LEM:ف
2:4:2	مِن	P	P|LEM:مِن
2:4:3	كُمْ	N	PRON|SUFF|2MP
2:5:1	كَافِرٌ	N	ROOT:كفر|LEM:كافِر|M|INDEF|NOM
2:6:1	وَ	P	CONJ|PREF|LEM:و
2:6:2	مِن	P	P|LEM:مِن
2:6:3	كُم	N	PRON|SUFF|2MP
2:7:1	مُّؤْمِنٌ	N	ACT_PCPL|VF:4|ROOT:أمن|LEM:مُؤْمِن|M|INDEF|NOM
2:8:1	وَ	P	REM|PREF|LEM:و
2:8:2	ٱللَّهُ	N	PN|ROOT:أله|LEM:اللَّه|NOM
2:9:1	بِ	P	P|PREF|LEM:ب
2:9:2	مَا	N	REL|LEM:ما
2:10:1	تَعْمَلُ	V	IMPF|VF:1|ROOT:عمل|LEM:عَمِلَ|2MP|MOOD:IND
2:10:2	ونَ	N	PRON|SUFF|2MP
2:11:1	بَصِيرٌ	N	ROOT:بصر|LEM:بَصِير|MS|INDEF|NOM
3:1:1	خَلَقَ	V	PERF|VF:1|ROOT:خلق|LEM:خَلَقَ|3MS
3:2:1	ٱل	P	DET|PREF|LEM:ال
3:2:2	سَّمَٰوَٰتِ	N	ROOT:سمو|LEM:سَماء|FP|ACC
3:3:1	وَ	P	CONJ|PREF|LEM:و
3:3:2	ٱلْ	P	DET|PREF|LEM:ال
3:3:3	أَرْضَ	N	ROOT:أرض|LEM:أَرْض|F|ACC
3:4:1	بِ	P	P|PREF|LEM:ب
3:4:2	ٱلْ	P	DET|PREF|LEM:ال
3:4:3	حَقِّ	N	ROOT:حقق|LEM:حَقّ|M|GEN
3:5:1	وَ	P	CONJ|PREF|LEM:و
3:5:2	صَوَّرَ	V	PERF|VF:2|ROOT:صور|LEM:صَوَّرَ|3MS
3:5:3	كُمْ	N	PRON|SUFF|2MP
3:6:1	فَ	P	CONJ|PREF|LEM:ف
3:6:2	أَحْسَنَ	V	PERF|VF:4|ROOT:حسن|LEM:أَحْسَنَ|3MS
3:7:1	صُوَرَ	N	ROOT:صور|LEM:صُورَة|MP|ACC
3:7:2	كُمْ	N	PRON|SUFF|2MP
3:8:1	وَ	P	REM|PREF|LEM:و
3:8:2	إِلَيْ	P	P|LEM:إِلَى
3:8:3	هِ	N	PRON|SUFF|3MS
3:9:1	ٱلْ	P	DET|PREF|LEM:ال
3:9:2	مَصِيرُ	N	ROOT:صير|LEM:مَصِير|NOM
4:1:1	يَعْلَمُ	V	IMPF|VF:1|ROOT:علم|LEM:عَلِمَ|3MS|MOOD:IND
4:2:1	مَا	N	REL|LEM:ما
4:3:1	فِى	P	P|LEM:فِي
4:4:1	ٱل	P	DET|PREF|LEM:ال
4:4:2	سَّمَٰوَٰتِ	N	ROOT:سمو|LEM:سَماء|FP|GEN
4:5:1	وَ	P	CONJ|PREF|LEM:و
4:5:2	ٱلْ	P	DET|PREF|LEM:ال
4:5:3	أَرْضِ	N	ROOT:أرض|LEM:أَرْض|F|GEN
4:6:1	وَ	P	CONJ|PREF|LEM:و
4:6:2	يَعْلَمُ	V	IMPF|VF:1|ROOT:علم|LEM:عَلِمَ|3MS|MOOD:IND
4:7:1	مَا	N	REL|LEM:ما
4:8:1	تُسِرُّ	V	IMPF|VF:4|ROOT:سرر|LEM:أَسَرَّ|2MP|MOOD:IND
4:8:2	ونَ	N	PRON|SUFF|2MP
4:9:1	وَ	P	CONJ|PREF|LEM:و
4:9:2	مَا	N	REL|LEM:ما
4:10:1	تُعْلِنُ	V	IMPF|VF:4|ROOT:علن|LEM:أَعْلَن|2MP|MOOD:IND
4:10:2	ونَ	N	PRON|SUFF|2MP
4:11:1	وَ	P	REM|PREF|LEM:و
4:11:2	ٱللَّهُ	N	PN|ROOT:أله|LEM:اللَّه|NOM
4:12:1	عَلِيمٌۢ	N	ROOT:علم|LEM:عَلِيم|MS|INDEF|NOM
4:13:1	بِ	P	P|PREF|LEM:ب
4:13:2	ذَاتِ	N	LEM:ذُو|FS|GEN
4:14:1	ٱل	P	DET|PREF|LEM:ال
4:14:2	صُّدُورِ	N	ROOT:صدر|LEM:صَدْر|MP|GEN
5:1:1	أَ	N	INTG|PREF|LEM:أ
5:1:2	لَمْ	P	NEG|LEM:لَم
5:2:1	يَأْتِ	V	IMPF|VF:1|ROOT:أتي|LEM:أَتَى|3MS|MOOD:JUS
5:2:2	كُمْ	N	PRON|SUFF|2MP
5:3:1	نَبَؤُا۟	N	ROOT:نبأ|LEM:نَبَأ|M|NOM
5:4:1	ٱلَّذِينَ	N	REL|LEM:الَّذِي|MP
5:5:1	كَفَرُ	V	PERF|VF:1|ROOT:كفر|LEM:كَفَرَ|3MP
5:5:2	وا۟	N	PRON|SUFF|3MP
5:6:1	مِن	P	P|LEM:مِن
5:7:1	قَبْلُ	N	ROOT:قبل|LEM:قَبْل|GEN
5:8:1	فَ	P	CAUS|PREF|LEM:ف
5:8:2	ذَاقُ	V	PERF|VF:1|ROOT:ذوق|LEM:ذاقُ|3MP
5:8:3	وا۟	N	PRON|SUFF|3MP
5:9:1	وَبَالَ	N	ROOT:وبل|LEM:وَبال|M|ACC
5:10:1	أَمْرِ	N	ROOT:أمر|LEM:أَمْر|M|GEN
5:10:2	هِمْ	N	PRON|SUFF|3MP
5:11:1	وَ	P	REM|PREF|LEM:و
5:11:2	لَ	P	P|PREF|LEM:ل
5:11:3	هُمْ	N	PRON|3MP
5:12:1	عَذَابٌ	N	ROOT:عذب|LEM:عَذاب|M|INDEF|NOM
5:13:1	أَلِيمٌ	N	ROOT:ألم|LEM:أَلِيم|MS|INDEF|NOM|ADJ
6:1:1	ذَٰ	N	DEM|LEM:ذا|MS
6:1:2	لِ	P	DIST|SUFF|LEM:ل
6:1:3	كَ	P	ADDR|SUFF|M
6:2:1	بِ	P	P|PREF|LEM:ب
6:2:2	أَنَّ	P	ACC|LEM:أَنّ|FAM:إِنّ
6:2:3	هُۥ	N	PRON|SUFF|3MS
6:3:1	كَانَت	V	PERF|VF:1|ROOT:كون|LEM:كانَ|FAM:كَان|3FS
6:4:1	تَّأْتِي	V	IMPF|VF:1|ROOT:أتي|LEM:أَتَى|3FS|MOOD:IND
6:4:2	هِمْ	N	PRON|SUFF|3MP
6:5:1	رُسُلُ	N	ROOT:رسل|LEM:رَسُول|MP|NOM
6:5:2	هُم	N	PRON|SUFF|3MP
6:6:1	بِ	P	P|PREF|LEM:ب
6:6:2	ٱلْ	P	DET|PREF|LEM:ال
6:6:3	بَيِّنَٰتِ	N	ROOT:بين|LEM:بَيِّنَة|FP|GEN
6:7:1	فَ	P	CONJ|PREF|LEM:ف
6:7:2	قَالُ	V	PERF|VF:1|ROOT:قول|LEM:قالَ|3MP
6:7:3	وٓا۟	N	PRON|SUFF|3MP
6:8:1	أَ	N	INTG|PREF|LEM:أ
6:8:2	بَشَرٌ	N	ROOT:بشر|LEM:بَشَر|M|INDEF|NOM
6:9:1	يَهْدُ	V	IMPF|VF:1|ROOT:هدي|LEM:هَدَى|3MP|MOOD:IND
6:9:2	ونَ	N	PRON|SUFF|3MP
6:9:3	نَا	N	PRON|SUFF|1P
6:10:1	فَ	P	CAUS|PREF|LEM:ف
6:10:2	كَفَرُ	V	PERF|VF:1|ROOT:كفر|LEM:كَفَرَ|3MP
6:10:3	وا۟	N	PRON|SUFF|3MP
6:11:1	وَ	P	CONJ|PREF|LEM:و
6:11:2	تَوَلَّ	V	PERF|VF:5|ROOT:ولي|LEM:تَوَلَّى|3MP
6:11:3	وا۟	N	PRON|SUFF|3MP
6:12:1	وَّ	P	CONJ|PREF|LEM:و
6:12:2	ٱسْتَغْنَى	V	PERF|VF:10|ROOT:غني|LEM:اسْتَغْنَى|3MS
6:13:1	ٱللَّهُ	N	PN|ROOT:أله|LEM:اللَّه|NOM
6:14:1	وَ	P	REM|PREF|LEM:و
6:14:2	ٱللَّهُ	N	PN|ROOT:أله|LEM:اللَّه|NOM
6:15:1	غَنِىٌّ	N	ROOT:غني|LEM:غَنِيّ|MS|INDEF|NOM
6:16:1	حَمِيدٌ	N	ROOT:حمد|LEM:حَمِيد|MS|INDEF|NOM|ADJ
7:1:1	زَعَمَ	V	PERF|VF:1|ROOT:زعم|LEM:زَعَمَ|3MS
7:2:1	ٱلَّذِينَ	N	REL|LEM:الَّذِي|MP
7:3:1	كَفَرُ	V	PERF|VF:1|ROOT:كفر|LEM:كَفَرَ|3MP
7:3:2	وٓا۟	N	PRON|SUFF|3MP
7:4:1	أَن	P	SUB|LEM:أَن
7:5:1	لَّن	P	NEG|LEM:لَن
7:6:1	يُبْعَثُ	V	IMPF|VF:1|PASS|ROOT:بعث|LEM:بَعَثَ|3MP|MOOD:SUBJ
7:6:2	وا۟	N	PRON|SUFF|3MP
7:7:1	قُلْ	V	IMPV|VF:1|ROOT:قول|LEM:قالَ|2MS
7:8:1	بَلَىٰ	P	ANS|LEM:بَلَى
7:9:1	وَ	P	P|PREF|LEM:و
7:9:2	رَبِّ	N	ROOT:ربب|LEM:رَبّ|M|GEN
7:9:3	ى	N	PRON|SUFF|1S
7:10:1	لَ	P	EMPH|PREF|LEM:ل
7:10:2	تُبْعَثُ	V	IMPF|VF:1|PASS|ROOT:بعث|LEM:بَعَثَ|2MP|MOOD:IND
7:10:3	نَّ	P	EMPH|SUFF|LEM:ن
7:11:1	ثُمَّ	P	CONJ|LEM:ثُمّ
7:12:1	لَ	P	EMPH|PREF|LEM:ل
