1:1:1	سَبَّحَ	V	PERF|VF:2|ROOT:سبح|LEM:سَبَّحَ|3MS
1:2:1	لِ	P	P|PREF|LEM:ل
1:2:2	لَّهِ	N	PN|ROOT:أله|LEM:اللَّه|GEN
1:3:1	مَا	N	REL|LEM:ما
1:4:1	فِى	P	P|LEM:فِي
1:5:1	ٱل	P	DET|PREF|LEM:ال
1:5:2	سَّمَٰوَٰتِ	N	ROOT:سمو|LEM:سَماء|FP|GEN
1:6:1	وَ	P	CONJ|PREF|LEM:و
1:6:2	ٱلْ	P	DET|PREF|LEM:ال
1:6:3	أَرْضِ	N	ROOT:أرض|LEM:أَرْض|F|GEN
1:7:1	وَ	P	CONJ|PREF|LEM:و
1:7:2	هُوَ	N	PRON|3MS
1:8:1	ٱلْ	P	DET|PREF|LEM:ال
1:8:2	عَزِيزُ	N	ROOT:عزز|LEM:عَزِيز|MS|NOM
1:9:1	ٱلْ	P	DET|PREF|LEM:ال
1:9:2	حَكِيمُ	N	ROOT:حكم|LEM:حَكِيم|MS|NOM|ADJ
2:1:1	لَ	P	P|PREF|LEM:ل
2:1:2	هُۥ	N	PRON|3MS
2:2:1	مُلْكُ	N	ROOT:ملك|LEM:مُلْك|M|NOM
2:3:1	ٱل	P	DET|PREF|LEM:ال
2:3:2	سَّمَٰوَٰتِ	N	ROOT:سمو|LEM:سَماء|FP|GEN
2:4:1	وَ	P	CONJ|PREF|LEM:و
2:4:2	ٱلْ	P	DET|PREF|LEM:ال
2:4:3	أَرْضِ	N	ROOT:أرض|LEM:أَرْض|F|GEN
2:5:1	يُحْىِۦ	V	IMPF|VF:4|ROOT:حيي|LEM:أَحْيا|3MS|MOOD:IND
2:6:1	وَ	P	CONJ|PREF|LEM:و
2:6:2	يُمِيتُ	V	IMPF|VF:4|ROOT:موت|LEM:أَماتَ|3MS|MOOD:IND
2:7:1	وَ	P	CONJ|PREF|LEM:و
2:7:2	هُوَ	N	PRON|3MS
2:8:1	عَلَىٰ	P	P|LEM:عَلَى
2:9:1	كُلِّ	N	ROOT:كلل|LEM:كُلّ|M|GEN
2:10:1	شَىْءٍ	N	ROOT:شيأ|LEM:شَىْء|M|INDEF|GEN
2:11:1	قَدِيرٌ	N	ROOT:قدر|LEM:قَدِير|M|INDEF|NOM
3:1:1	هُوَ	N	PRON|3MS
3:2:1	ٱلْ	P	DET|PREF|LEM:ال
3:2:2	أَوَّلُ	N	ROOT:أول|LEM:أَوَّل|MS|NOM
3:3:1	وَ	P	CONJ|PREF|LEM:و
3:3:2	ٱلْ	P	DET|PREF|LEM:ال
3:3:3	ءَاخِرُ	N	ROOT:أخر|LEM:آخِر|MS|NOM
3:4:1	وَ	P	CONJ|PREF|LEM:و
3:4:2	ٱل	P	DET|PREF|LEM:ال
3:4:3	ظَّٰهِرُ	N	ACT_PCPL|VF:1|ROOT:ظهر|LEM:ظاهِر|M|NOM
3:5:1	وَ	P	CONJ|PREF|LEM:و
3:5:2	ٱلْ	P	DET|PREF|LEM:ال
3:5:3	بَاطِنُ	N	ACT_PCPL|VF:1|ROOT:بطن|LEM:باطِن|M|NOM
3:6:1	وَ	P	CONJ|PREF|LEM:و
3:6:2	هُوَ	N	PRON|3MS
3:7:1	بِ	P	P|PREF|LEM:ب
3:7:2	كُلِّ	N	ROOT:كلل|LEM:كُلّ|M|GEN
3:8:1	شَىْءٍ	N	ROOT:شيأ|LEM:شَىْء|M|INDEF|GEN
3:9:1	عَلِيمٌ	N	ROOT:علم|LEM:عَلِيم|MS|INDEF|NOM|ADJ
4:1:1	هُوَ	N	PRON|3MS
4:2:1	ٱلَّذِى	N	REL|LEM:الَّذِي|MS
4:3:1	خَلَقَ	V	PERF|VF:1|ROOT:خلق|LEM:خَلَقَ|3MS
4:4:1	ٱل	P	DET|PREF|LEM:ال
4:4:2	سَّمَٰوَٰتِ	N	ROOT:سمو|LEM:سَماء|FP|ACC
4:5:1	وَ	P	CONJ|PREF|LEM:و
4:5:2	ٱلْ	P	DET|PREF|LEM:ال
4:5:3	أَرْضَ	N	ROOT:أرض|LEM:أَرْض|F|ACC
4:6:1	فِى	P	P|LEM:فِي
4:7:1	سِتَّةِ	N	ROOT:ستت|LEM:سِتَّة|F|GEN
4:8:1	أَيَّامٍ	N	ROOT:يوم|LEM:يَوْم|MP|INDEF|GEN
4:9:1	ثُمَّ	P	CONJ|LEM:ثُمّ
4:10:1	ٱسْتَوَىٰ	V	PERF|VF:8|ROOT:سوي|LEM:اسْتَوَى|3MS
4:11:1	عَلَى	P	P|LEM:عَلَى
4:12:1	ٱلْ	P	DET|PREF|LEM:ال
4:12:2	عَرْشِ	N	ROOT:عرش|LEM:عَرْش|M|GEN
4:13:1	يَعْلَمُ	V	IMPF|VF:1|ROOT:علم|LEM:عَلِمَ|3MS|MOOD:IND
4:14:1	مَا	N	REL|LEM:ما
4:15:1	يَلِجُ	V	IMPF|VF:1|ROOT:ولج|LEM:يَلِجَ|3MS|MOOD:IND
4:16:1	فِى	P	P|LEM:فِي
4:17:1	ٱلْ	P	DET|PREF|LEM:ال
4:17:2	أَرْضِ	N	ROOT:أرض|LEM:أَرْض|F|GEN
4:18:1	وَ	P	CONJ|PREF|LEM:و
4:18:2	مَا	N	REL|LEM:ما
4:19:1	يَخْرُجُ	V	IMPF|VF:1|ROOT:خرج|LEM:خَرَجَ|3MS|MOOD:IND
4:20:1	مِنْ	P	P|LEM:مِن
4:20:2	هَا	N	PRON|SUFF|3FS
4:21:1	وَ	P	CONJ|PREF|LEM:و
4:21:2	مَا	N	REL|LEM:ما
4:22:1	يَنزِلُ	V	IMPF|VF:1|ROOT:نزل|LEM:نَزَلَ|3MS|MOOD:IND
4:23:1	مِنَ	P	P|LEM:مِن
4:24:1	ٱل	P	DET|PREF|LEM:ال
4:24:2	سَّمَآءِ	N	ROOT:سمو|LEM:سَماء|F|GEN
4:25:1	وَ	P	CONJ|PREF|LEM:و
4:25:2	مَا	N	REL|LEM:ما
4:26:1	يَعْرُجُ	V	IMPF|VF:1|ROOT:عرج|LEM:يَعْرُجُ|3MS|MOOD:IND
4:27:1	فِي	P	P|LEM:فِي
4:27:2	هَا	N	PRON|SUFF|3FS
4:28:1	وَ	P	CONJ|PREF|LEM:و
4:28:2	هُوَ	N	PRON|3MS
4:29:1	مَعَ	N	LOC|LEM:مَع|ACC
4:29:2	كُمْ	N	PRON|SUFF|2MP
4:30:1	أَيْنَ	N	LOC|LEM:أَيْن
4:31:1	مَا	N	REL|LEM:ما
4:32:1	كُن	V	PERF|VF:1|ROOT:كون|LEM:كانَ|FAM:كَان|2MP
4:32:2	تُمْ	N	PRON|SUFF|2MP
4:33:1	وَ	P	CONJ|PREF|LEM:و
4:33:2	ٱللَّهُ	N	PN|ROOT:أله|LEM:اللَّه|NOM
4:34:1	بِ	P	P|PREF|LEM:ب
4:34:2	مَا	N	REL|LEM:ما
4:35:1	تَعْمَلُ	V	IMPF|VF:1|ROOT:عمل|LEM:عَمِلَ|2MP|MOOD:IND
4:35:2	ونَ	N	PRON|SUFF|2MP
4:36:1	بَصِيرٌ	N	ROOT:بصر|LEM:بَصِير|MS|INDEF|NOM
5:1:1	لَّ	P	P|PREF|LEM:ل
5:1:2	هُۥ	N	PRON|3MS
5:2:1	مُلْكُ	N	ROOT:ملك|LEM:مُلْك|M|NOM
5:3:1	ٱل	P	DET|PREF|LEM:ال
5:3:2	سَّمَٰوَٰتِ	N	ROOT:سمو|LEM:سَماء|FP|GEN
5:4:1	وَ	P	CONJ|PREF|LEM:و
5:4:2	ٱلْ	P	DET|PREF|LEM:ال
5:4:3	أَرْضِ	N	ROOT:أرض|LEM:أَرْض|F|GEN
5:5:1	وَ	P	CONJ|PREF|LEM:و
5:5:2	إِلَى	P	P|LEM:إِلَى
5:6:1	ٱللَّهِ	N	PN|ROOT:أله|LEM:اللَّه|GEN
5:7:1	تُرْجَعُ	V	IMPF|VF:1|PASS|ROOT:رجع|LEM:رَجَعَ|3FS|MOOD:IND
5:8:1	ٱلْ	P	DET|PREF|LEM:ال
5:8:2	أُمُورُ	N	ROOT:أمر|LEM:أَمْر|MP|NOM
6:1:1	يُولِجُ	V	IMPF|VF:4|ROOT:ولج|LEM:يُولِجُ|3MS|MOOD:IND
6:2:1	ٱلَّ	P	DET|PREF|LEM:ال
6:2:2	يْلَ	N	ROOT:ليل|LEM:لَيْل|M|ACC
6:3:1	فِى	P	P|LEM:فِي
6:4:1	ٱل	P	DET|PREF|LEM:ال
6:4:2	نَّهَارِ	N	ROOT:نهر|LEM:نَهار|M|GEN
6:5:1	وَ	P	CONJ|PREF|LEM:و
6:5:2	يُولِجُ	V	IMPF|VF:4|ROOT:ولج|LEM:يُولِجُ|3MS|MOOD:IND
6:6:1	ٱل	P	DET|PREF|LEM:ال
6:6:2	نَّهَارَ	N	ROOT:نهر|LEM:نَهار|M|ACC
6:7:1	فِى	P	P|LEM:فِي
6:8:1	ٱلَّ	P	DET|PREF|LEM:ال
6:8:2	يْلِ	N	ROOT:ليل|LEM:لَيْل|M|GEN
6:9:1	وَ	P	CONJ|PREF|LEM:و
6:9:2	هُوَ	N	PRON|3MS
6:10:1	عَلِيمٌۢ	N	ROOT:علم|LEM:عَلِيم|MS|INDEF|NOM
6:11:1	بِ	P	P|PREF|LEM:ب
6:11:2	ذَاتِ	N	LEM:ذُو|FS|GEN
6:12:1	ٱل	P	DET|PREF|LEM:ال
6:12:2	صُّدُورِ	N	ROOT:صدر|LEM:صَدْر|MP|GEN
7:1:1	ءَامِنُ	V	IMPV|VF:4|ROOT:أمن|LEM:آمَنَ|2MP
7:1:2	وا۟	N	PRON|SUFF|2MP
7:2:1	بِ	P	P|PREF|LEM:ب
7:2:2	ٱللَّهِ	N	PN|ROOT:أله|LEM:اللَّه|GEN
7:3:1	وَ	P	CONJ|PREF|LEM:و
7:3:2	رَسُولِ	N	ROOT:رسل|LEM:رَسُول|M|GEN
7:3:3	هِۦ	N	PRON|SUFF|3MS
7:4:1	وَ	P	CONJ|PREF|LEM:و
7:4:2	أَنفِقُ	V	IMPV|VF:4|ROOT:نفق|LEM:أَنفَقَ|2MP
7:4:3	وا۟	N	PRON|SUFF|2MP
7:5:1	مِ	P	P|LEM:مِن
7:5:2	مَّا	N	REL|LEM:ما
7:6:1	جَعَلَ	V	PERF|VF:1|ROOT:جعل|LEM:جَعَلَ|3MS
7:6:2	كُم	N	PRON|SUFF|2MP
7:7:1	مُّسْتَخْلَفِينَ	N	PASS_PCPL|VF:10|ROOT:خلف|LEM:مُسْتَخْلَف|MP|ACC
7:8:1	فِي	P	P|LEM:فِي
7:8:2	هِ	N	PRON|SUFF|3MS
7:9:1	فَ	P	CONJ|PREF|LEM:ف
7:9:2	ٱلَّذِينَ	N	REL|LEM:الَّذِي|MP
7:10:1	ءَامَنُ	V	PERF|VF:4|ROOT:أمن|LEM:آمَنَ|3MP
7:10:2	وا۟	N	PRON|SUFF|3MP
7:11:1	مِن	P	P|LEM:مِن
7:11:2	كُمْ	N	PRON|SUFF|2MP
7:12:1	وَ	P	CONJ|PREF|LEM:و
7:12:2	أَنفَقُ	V	PERF|VF:4|ROOT:نفق|LEM:أَنفَقَ|3MP
7:12:3	وا۟	N	PRON|SUFF|3MP
7:13:1	لَ	P	P|PREF|LEM:ل
7:13:2	هُمْ	N	PRON|3MP
7:14:1	أَجْرٌ	N	ROOT:أجر|LEM:أَجْر|M|INDEF|NOM
