1:1:1	الٓمٓ	P	INL|
2:1:1	ذَٰ	N	DEM|LEM:ذا|MS
2:1:2	لِ	P	DIST|SUFF|LEM:ل
2:1:3	كَ	P	ADDR|SUFF|M
2:2:1	ٱلْ	P	DET|PREF|LEM:ال
2:2:2	كِتَٰبُ	N	ROOT:كتب|LEM:كِتاب|M|NOM
2:3:1	لَا	P	NEG|LEM:لا|FAM:إِنّ
2:4:1	رَيْبَ	N	ROOT:ريب|LEM:رَيْب|M|ACC
2:5:1	فِي	P	P|LEM:فِي
2:5:2	هِ	N	PRON|SUFF|3MS
2:6:1	هُدًى	N	ROOT:هدي|LEM:هُدًى|M|INDEF|NOM
2:7:1	لِّ	P	P|PREF|LEM:ل
2:7:2	لْ	P	DET|PREF|LEM:ال
2:7:3	مُتَّقِينَ	N	ACT_PCPL|VF:8|ROOT:وقي|LEM:مُتَّقي|MP|GEN
3:1:1	ٱلَّذِينَ	N	REL|LEM:الَّذِي|MP
3:2:1	يُؤْمِنُ	V	IMPF|VF:4|ROOT:أمن|LEM:آمَنَ|3MP|MOOD:IND
3:2:2	ونَ	N	PRON|SUFF|3MP
3:3:1	بِ	P	P|PREF|LEM:ب
3:3:2	ٱلْ	P	DET|PREF|LEM:ال
3:3:3	غَيْبِ	N	ROOT:غيب|LEM:غَيْب|M|GEN
3:4:1	وَ	P	CONJ|PREF|LEM:و
3:4:2	يُقِيمُ	V	IMPF|VF:4|ROOT:قوم|LEM:أَقامَ|3MP|MOOD:IND
3:4:3	ونَ	N	PRON|SUFF|3MP
3:5:1	ٱل	P	DET|PREF|LEM:ال
3:5:2	صَّلَوٰةَ	N	ROOT:صلو|LEM:صَلاة|F|ACC
3:6:1	وَ	P	REM|PREF|LEM:و
3:6:2	مِ	P	P|LEM:مِن
3:6:3	مَّا	N	REL|LEM:ما
3:7:1	رَزَقْ	V	PERF|VF:1|ROOT:رزق|LEM:رَزَقَ|1P
3:7:2	نَٰ	N	PRON|SUFF|1P
3:7:3	هُمْ	N	PRON|SUFF|3MP
3:8:1	يُنفِقُ	V	IMPF|VF:4|ROOT:نفق|LEM:أَنفَقَ|3MP|MOOD:IND
3:8:2	ونَ	N	PRON|SUFF|3MP
4:1:1	وَ	P	CONJ|PREF|LEM:و
4:1:2	ٱلَّذِينَ	N	REL|LEM:الَّذِي|MP
4:2:1	يُؤْمِنُ	V	IMPF|VF:4|ROOT:أمن|LEM:آمَنَ|3MP|MOOD:IND
4:2:2	ونَ	N	PRON|SUFF|3MP
4:3:1	بِ	P	P|PREF|LEM:ب
4:3:2	مَآ	N	REL|LEM:ما
4:4:1	أُنزِلَ	V	PERF|VF:4|PASS|ROOT:نزل|LEM:أَنزَلَ|3MS
4:5:1	إِلَيْ	P	P|LEM:إِلَى
4:5:2	كَ	N	PRON|SUFF|2MS
4:6:1	وَ	P	CONJ|PREF|LEM:و
4:6:2	مَآ	N	REL|LEM:ما
4:7:1	أُنزِلَ	V	PERF|VF:4|PASS|ROOT:نزل|LEM:أَنزَلَ|3MS
