1:1:1	أَتَىٰٓ	V	PERF|VF:1|ROOT:أتي|LEM:أَتَى|3MS
1:2:1	أَمْرُ	N	ROOT:أمر|LEM:أَمْر|M|NOM
1:3:1	ٱللَّهِ	N	PN|ROOT:أله|LEM:اللَّه|GEN
1:4:1	فَ	P	REM|PREF|LEM:ف
1:4:2	لَا	P	PRO|LEM:لا
1:5:1	تَسْتَعْجِلُ	V	IMPF|VF:10|ROOT:عجل|LEM:اسْتَعْجَلَ|2MP|MOOD:JUS
1:5:2	و	N	PRON|SUFF|2MP
1:5:3	هُ	N	PRON|SUFF|3MS
1:6:1	سُبْحَٰنَ	N	ROOT:سبح|LEM:سُبْحان|M|ACC
1:6:2	هُۥ	N	PRON|SUFF|3MS
1:7:1	وَ	P	CONJ|PREF|LEM:و
1:7:2	تَعَٰلَىٰ	V	PERF|VF:6|ROOT:علو|LEM:تَعالَى|3MS
1:8:1	عَ	P	P|LEM:عَن
1:8:2	مَّا	N	REL|LEM:ما
1:9:1	يُشْرِكُ	V	IMPF|VF:4|ROOT:شرك|LEM:أَشْرَكَ|3MP|MOOD:IND
1:9:2	ونَ	N	PRON|SUFF|3MP
2:1:1	يُنَزِّلُ	V	IMPF|VF:2|ROOT:نزل|LEM:نَزَّلَ|3MS|MOOD:IND
2:2:1	ٱلْ	P	DET|PREF|LEM:ال
2:2:2	مَلَٰٓئِكَةَ	N	ROOT:ملك|LEM:مَلَك|MP|ACC
2:3:1	بِ	P	P|PREF|LEM:ب
2:3:2	ٱل	P	DET|PREF|LEM:ال
2:3:3	رُّوحِ	N	ROOT:روح|LEM:رُوح|M|GEN
2:4:1	مِنْ	P	P|LEM:مِن
2:5:1	أَمْرِ	N	ROOT:أمر|LEM:أَمْر|M|GEN
2:5:2	هِۦ	N	PRON|SUFF|3MS
2:6:1	عَلَىٰ	P	P|LEM:عَلَى
2:7:1	مَن	N	REL|LEM:مَن
2:8:1	يَشَآءُ	V	IMPF|VF:1|ROOT:شيأ|LEM:شاءَ|3MS|MOOD:IND
2:9:1	مِنْ	P	P|LEM:مِن
2:10:1	عِبَادِ	N	ROOT:عبد|LEM:عَبْد|MP|GEN
2:10:2	هِۦٓ	N	PRON|SUFF|3MS
2:11:1	أَنْ	P	SUB|LEM:أَن
2:12:1	أَنذِرُ	V	IMPV|VF:4|ROOT:نذر|LEM:أَنذَرَ|2MP
2:12:2	وٓا۟	N	PRON|SUFF|2MP
2:13:1	أَنَّ	P	ACC|LEM:أَنّ|FAM:إِنّ
2:13:2	هُۥ	N	PRON|SUFF|3MS
2:14:1	لَآ	P	NEG|LEM:لا
2:15:1	إِلَٰهَ	N	ROOT:أله|LEM:إِلٰه|MS|ACC
2:16:1	إِلَّآ	P	RES|LEM:إِلّا
2:17:1	أَنَا۠	N	PRON|1S
2:18:1	فَ	P	REM|PREF|LEM:ف
2:18:2	ٱتَّقُ	V	IMPV|VF:8|ROOT:وقي|LEM:اتَّقَى|2MP
2:18:3	و	N	PRON|SUFF|2MP
2:18:4	نِ	N	PRON|SUFF|1S
3:1:1	خَلَقَ	V	PERF|VF:1|ROOT:خلق|LEM:خَلَقَ|3MS
3:2:1	ٱل	P	DET|PREF|LEM:ال
3:2:2	سَّمَٰوَٰتِ	N	ROOT:سمو|LEM:سَماء|FP|GEN
3:3:1	وَ	P	CONJ|PREF|LEM:و
3:3:2	ٱلْ	P	DET|PREF|LEM:ال
3:3:3	أَرْضَ	N	ROOT:أرض|LEM:أَرْض|F|ACC
3:4:1	بِ	P	P|PREF|LEM:ب
3:4:2	ٱلْ	P	DET|PREF|LEM:ال
3:4:3	حَقِّ	N	ROOT:حقق|LEM:حَقّ|M|GEN
3:5:1	تَعَٰلَىٰ	V	PERF|VF:6|ROOT:علو|LEM:تَعالَى|3MS
3:6:1	عَ	P	P|LEM:عَن
3:6:2	مَّا	N	REL|LEM:ما
3:7:1	يُشْرِكُ	V	IMPF|VF:4|ROOT:شرك|LEM:أَشْرَكَ|3MP|MOOD:IND
3:7:2	ونَ	N	PRON|SUFF|3MP
4:1:1	خَلَقَ	V	PERF|VF:1|ROOT:خلق|LEM:خَلَقَ|3MS
4:2:1	ٱلْ	P	DET|PREF|LEM:ال
4:2:2	إِنسَٰنَ	N	ROOT:أنس|LEM:إِنسان|M|ACC
4:3:1	مِن	P	P|LEM:مِن
4:4:1	نُّطْفَةٍ	N	ROOT:نطف|LEM:نُطْفَة|F|INDEF|GEN
4:5:1	فَ	P	REM|PREF|LEM:ف
4:5:2	إِذَا	P	SUR|LEM:إِذا
4:6:1	هُوَ	N	PRON|3MS
4:7:1	خَصِيمٌ	N	ROOT:خصم|LEM:خَصِيم|MS|INDEF|NOM
4:8:1	مُّبِينٌ	N	ACT_PCPL|VF:4|ROOT:بين|LEM:مُبِين|M|INDEF|NOM
5:1:1	وَ	P	CONJ|PREF|LEM:و
5:1:2	ٱلْ	P	DET|PREF|LEM:ال
5:1:3	أَنْعَٰمَ	N	ROOT:نعم|LEM:نَعَم|MP|ACC
5:2:1	خَلَقَ	V	PERF|VF:1|ROOT:خلق|LEM:خَلَقَ|3MS
5:2:2	هَا	N	PRON|SUFF|3FS
5:3:1	لَ	P	P|PREF|LEM:ل
5:3:2	كُمْ	N	PRON|2MP
5:4:1	فِي	P	P|LEM:فِي
5:4:2	هَا	N	PRON|SUFF|3FS
5:5:1	دِفْءٌ	N	ROOT:دفأ|LEM:دِفْء|M|INDEF|NOM
5:6:1	وَ	P	CONJ|PREF|LEM:و
5:6:2	مَنَٰفِعُ	N	ROOT:نفع|LEM:مَنافِع|FP|NOM
5:7:1	وَ	P	CONJ|PREF|LEM:و
5:7:2	مِنْ	P	P|LEM:مِن
5:7:3	هَا	N	PRON|SUFF|3FS
