1:1:1	سُورَةٌ	N	ROOT:سور|LEM:سُورَة|F|INDEF|NOM
1:2:1	أَنزَلْ	V	PERF|VF:4|ROOT:نزل|LEM:أَنزَلَ|1P
1:2:2	نَٰ	N	PRON|SUFF|1P
1:2:3	هَا	N	PRON|SUFF|3FS
1:3:1	وَ	P	CONJ|PREF|LEM:و
1:3:2	فَرَضْ	V	PERF|VF:1|ROOT:فرض|LEM:فَرَضَ|1P
1:3:3	نَٰ	N	PRON|SUFF|1P
1:3:4	هَا	N	PRON|SUFF|3FS
1:4:1	وَ	P	CONJ|PREF|LEM:و
1:4:2	أَنزَلْ	V	PERF|VF:4|ROOT:نزل|LEM:أَنزَلَ|1P
1:4:3	نَا	N	PRON|SUFF|1P
1:5:1	فِي	P	P|LEM:فِي
1:5:2	هَآ	N	PRON|SUFF|3FS
1:6:1	ءَايَٰتٍۭ	N	ROOT:أيي|LEM:آيَة|FP|INDEF|ACC
1:7:1	بَيِّنَٰتٍ	N	ROOT:بين|LEM:بَيِّنَة|FP|INDEF|ACC|ADJ
1:8:1	لَّعَلَّ	P	ACC|LEM:لَعَلّ|FAM:إِنّ
1:8:2	كُمْ	N	PRON|SUFF|2MP
1:9:1	تَذَكَّرُ	V	IMPF|VF:5|ROOT:ذكر|LEM:تَذَكَّرَ|2MP|MOOD:IND
1:9:2	ونَ	N	PRON|SUFF|2MP
2:1:1	ٱل	P	DET|PREF|LEM:ال
2:1:2	زَّانِيَةُ	N	ACT_PCPL|VF:1|ROOT:زني|LEM:زانِيَة|F|NOM
2:2:1	وَ	P	CONJ|PREF|LEM:و
2:2:2	ٱل	P	DET|PREF|LEM:ال
2:2:3	زَّانِى	N	ACT_PCPL|VF:1|ROOT:زني|LEM:زان|M|NOM
2:3:1	فَ	P	REM|PREF|LEM:ف
2:3:2	ٱجْلِدُ	V	IMPV|VF:1|ROOT:جلد|LEM:اجْلِدُ|2MP
2:3:3	وا۟	N	PRON|SUFF|2MP
2:4:1	كُلَّ	N	ROOT:كلل|LEM:كُلّ|M|ACC
2:5:1	وَٰحِدٍ	N	ROOT:وحد|LEM:واحِد|MS|INDEF|GEN|ADJ
2:6:1	مِّنْ	P	P|LEM:مِن
2:6:2	هُمَا	N	PRON|SUFF|3D
2:7:1	مِا۟ئَةَ	N	ROOT:مأي|LEM:مِائَة|F|ACC
2:8:1	جَلْدَةٍ	N	ROOT:جلد|LEM:جَلْدَة|F|INDEF|GEN
2:9:1	وَ	P	CONJ|PREF|LEM:و
2:9:2	لَا	P	PRO|LEM:لا
2:10:1	تَأْخُذْ	V	IMPF|VF:1|ROOT:أخذ|LEM:أَخَذَ|3FS|MOOD:JUS
2:10:2	كُم	N	PRON|SUFF|2MP
2:11:1	بِ	P	P|PREF|LEM:ب
2:11:2	هِمَا	N	PRON|3D
2:12:1	رَأْفَةٌ	N	ROOT:رأف|LEM:رَأْفَة|F|INDEF|NOM
2:13:1	فِى	P	P|LEM:فِي
2:14:1	دِينِ	N	ROOT:دين|LEM:دِين|GEN
2:15:1	ٱللَّهِ	N	PN|ROOT:أله|LEM:اللَّه|GEN
2:16:1	إِن	P	COND|LEM:إِن
2:17:1	كُن	V	PERF|VF:1|ROOT:كون|LEM:كانَ|FAM:كَان|2MP
2:17:2	تُمْ	N	PRON|SUFF|2MP
2:18:1	تُؤْمِنُ	V	IMPF|VF:4|ROOT:أمن|LEM:آمَنَ|2MP|MOOD:IND
2:18:2	ونَ	N	PRON|SUFF|2MP
2:19:1	بِ	P	P|PREF|LEM:ب
2:19:2	ٱللَّهِ	N	PN|ROOT:أله|LEM:اللَّه|GEN
2:20:1	وَ	P	CONJ|PREF|LEM:و
2:20:2	ٱلْ	P	DET|PREF|LEM:ال
2:20:3	يَوْمِ	N	ROOT:يوم|LEM:يَوْم|M|GEN
2:21:1	ٱلْ	P	DET|PREF|LEM:ال
2:21:2	ءَاخِرِ	N	ROOT:أخر|LEM:آخِر|MS|GEN|ADJ
2:22:1	وَ	P	CONJ|PREF|LEM:و
2:22:2	لْ	P	IMPV|PREF|LEM:ل
2:22:3	يَشْهَدْ	V	IMPF|VF:1|ROOT:شهد|LEM:شَهِدَ|3MS|MOOD:JUS
2:23:1	عَذَابَ	N	ROOT:عذب|LEM:عَذاب|M|ACC
2:23:2	هُمَا	N	PRON|SUFF|3D
2:24:1	طَآئِفَةٌ	N	ROOT:طوف|LEM:طائِفَة|FS|INDEF|NOM|ADJ
2:25:1	مِّنَ	P	P|LEM:مِن
2:26:1	ٱلْ	P	DET|PREF|LEM:ال
2:26:2	مُؤْمِنِينَ	N	ACT_PCPL|VF:4|ROOT:أمن|LEM:مُؤْمِن|MP|GEN
3:1:1	ٱل	P	DET|PREF|LEM:ال
3:1:2	زَّانِى	N	ACT_PCPL|VF:1|ROOT:زني|LEM:زان|M|NOM
3:2:1	لَا	P	NEG|LEM:لا
3:3:1	يَنكِحُ	V	IMPF|VF:1|ROOT:نكح|LEM:نَكَحَ|3MS|MOOD:IND
3:4:1	إِلَّا	P	RES|LEM:إِلّا
3:5:1	زَانِيَةً	N	ACT_PCPL|VF:1|ROOT:زني|LEM:زانِيَة|F|INDEF|ACC
3:6:1	أَوْ	P	CONJ|LEM:أَو
3:7:1	مُشْرِكَةً	N	ACT_PCPL|VF:4|ROOT:شرك|LEM:مُشْرِكَة|F|INDEF|ACC
3:8:1	وَ	P	CONJ|PREF|LEM:و
3:8:2	ٱل	P	DET|PREF|LEM:ال
3:8:3	زَّانِيَةُ	N	ACT_PCPL|VF:1|ROOT:زني|LEM:زانِيَة|F|NOM
3:9:1	لَا	P	NEG|LEM:لا
3:10:1	يَنكِحُ	V	IMPF|VF:1|ROOT:نكح|LEM:نَكَحَ|3MS|MOOD:IND
3:10:2	هَآ	N	PRON|SUFF|3FS
3:11:1	إِلَّا	P	RES|LEM:إِلّا
3:12:1	زَانٍ	N	ACT_PCPL|VF:1|ROOT:زني|LEM:زان|M|INDEF|NOM
3:13:1	أَوْ	P	CONJ|LEM:أَو
3:14:1	مُشْرِكٌ	N	ACT_PCPL|VF:4|ROOT:شرك|LEM:مُشْرِك|M|INDEF|NOM
3:15:1	وَ	P	CONJ|PREF|LEM:و
3:15:2	حُرِّمَ	V	PERF|VF:2|PASS|ROOT:حرم|LEM:حَرَّمَ|3MS
3:16:1	ذَٰ	N	DEM|LEM:ذا|MS
3:16:2	لِ	P	DIST|SUFF|LEM:ل
