1:1:1	الٓمٓ	P	INL|
2:1:1	غُلِبَتِ	V	PERF|VF:1|PASS|ROOT:غلب|LEM:غَلَبُ|3FS
2:2:1	ٱل	P	DET|PREF|LEM:ال
2:2:2	رُّومُ	N	PN|LEM:رُوم|P|NOM
3:1:1	فِىٓ	P	P|LEM:فِي
3:2:1	أَدْنَى	N	ROOT:دنو|LEM:أَدْنَى|MS|GEN
3:3:1	ٱلْ	P	DET|PREF|LEM:ال
3:3:2	أَرْضِ	N	ROOT:أرض|LEM:أَرْض|F|GEN
3:4:1	وَ	P	CONJ|PREF|LEM:و
3:4:2	هُم	N	PRON|3MP
3:5:1	مِّنۢ	P	P|LEM:مِن
3:6:1	بَعْدِ	N	ROOT:بعد|LEM:بَعْد|GEN
3:7:1	غَلَبِ	N	ROOT:غلب|LEM:غَلَب|M|GEN
3:7:2	هِمْ	N	PRON|SUFF|3MP
3:8:1	سَ	P	FUT|PREF|LEM:س
3:8:2	يَغْلِبُ	V	IMPF|VF:1|ROOT:غلب|LEM:غَلَبُ|3MP|MOOD:IND
3:8:3	ونَ	N	PRON|SUFF|3MP
4:1:1	فِى	P	P|LEM:فِي
4:2:1	بِضْعِ	N	ROOT:بضع|LEM:بِضْع|M|GEN
4:3:1	سِنِينَ	N	ROOT:سنو|LEM:سِنِين|MP|GEN
4:4:1	لِ	P	P|PREF|LEM:ل
4:4:2	لَّهِ	N	PN|ROOT:أله|LEM:اللَّه|GEN
4:5:1	ٱلْ	P	DET|PREF|LEM:ال
4:5:2	أَمْرُ	N	ROOT:أمر|LEM:أَمْر|M|NOM
4:6:1	مِن	P	P|LEM:مِن
4:7:1	قَبْلُ	N	ROOT:قبل|LEM:قَبْل|GEN
4:8:1	وَ	P	CONJ|PREF|LEM:و
4:8:2	مِنۢ	P	P|LEM:مِن
4:9:1	بَعْدُ	N	ROOT:بعد|LEM:بَعْد|GEN
4:10:1	وَ	P	CONJ|PREF|LEM:و
4:10:2	يَوْمَ	N	T|ROOT:يوم|LEM:يَوْم
4:10:3	ئِذٍ	N	T|LEM:إِذ
4:11:1	يَفْرَحُ	V	IMPF|VF:1|ROOT:فرح|LEM:فَرِحَ|3MS|MOOD:IND
4:12:1	ٱلْ	P	DET|PREF|LEM:ال
4:12:2	مُؤْمِنُونَ	N	ACT_PCPL|VF:4|ROOT:أمن|LEM:مُؤْمِن|MP|NOM
5:1:1	بِ	P	P|PREF|LEM:ب
5:1:2	نَصْرِ	N	ROOT:نصر|LEM:نَصْر|M|GEN
5:2:1	ٱللَّهِ	N	PN|ROOT:أله|LEM:اللَّه|GEN
5:3:1	يَنصُرُ	V	IMPF|VF:1|ROOT:نصر|LEM:نَصَرَ|3MS|MOOD:IND
5:4:1	مَن	N	REL|LEM:مَن
5:5:1	يَشَآءُ	V	IMPF|VF:1|ROOT:شيأ|LEM:شاءَ|3MS|MOOD:IND
5:6:1	وَ	P	CONJ|PREF|LEM:و
5:6:2	هُوَ	N	PRON|3MS
5:7:1	ٱلْ	P	DET|PREF|LEM:ال
5:7:2	عَزِيزُ	N	ROOT:عزز|LEM:عَزِيز|MS|NOM
5:8:1	ٱل	P	DET|PREF|LEM:ال
5:8:2	رَّحِيمُ	N	ROOT:رحم|LEM:رَحِيم|MS|NOM|ADJ
6:1:1	وَعْدَ	N	ROOT:وعد|LEM:وَعْد|M|ACC
6:2:1	ٱللَّهِ	N	PN|ROOT:أله|LEM:اللَّه|GEN
6:3:1	لَا	P	NEG|LEM:لا
6:4:1	يُخْلِفُ	V	IMPF|VF:4|ROOT:خلف|LEM:أَخْلَفُ|3MS|MOOD:IND
6:5:1	ٱللَّهُ	N	PN|ROOT:أله|LEM:اللَّه|NOM
6:6:1	وَعْدَ	N	ROOT:وعد|LEM:وَعْد|M|ACC
6:6:2	هُۥ	N	PRON|SUFF|3MS
6:7:1	وَ	P	CONJ|PREF|LEM:و
6:7:2	لَٰكِنَّ	P	ACC|LEM:لٰكِنّ|FAM:إِنّ
6:8:1	أَكْثَرَ	N	ROOT:كثر|LEM:أَكْثَر|MS|ACC
6:9:1	ٱل	P	DET|PREF|LEM:ال
